Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
209684962,Živa voda,Clarice Lispector,"Lispector, Clarice",Ana Kuzmanović Jovanović,"=""""","=""""",4,4.26,Kontrast,Unknown Binding,72,2023,1973,2025/06/19,2025/05/31,,,read,"Roman toka svesti. Intuitivno pisanje. Poetski monolog bez radnje. Eksperimentalno delo o ljudskoj psihi, podsvesti, umetnosti… <br/><br/>- Ne mogu se predstaviti jer se ne mogu sabrati jedna stolica i dve jabuke. Ja sam jedna stolica i dve jabuke, ne sabiram se.",,,1,0
162853,The Magus,John Fowles,"Fowles, John",,"=""""","=""""",0,4.05,Vintage Books,Paperback,672,2004,1965,,2025/06/19,to-read,to-read (#69),to-read,,,,0,0
406373,Faust,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Walter Kaufmann,"=""0385031149""","=""9780385031141""",4,3.89,Vintage,Paperback,503,1962,1808,,2017/09/18,,,read,,,,1,0
10827154,Ljubav u doba kolere,Gabriel García Márquez,"Márquez, Gabriel García",Milena Trobozić,"=""8661050286""","=""9788661050282""",0,3.94,Sezam Book,Hardcover,325,2010,1985,,2025/06/18,to-read,to-read (#68),to-read,,,,0,0
17835844,Hadrijanovi memoari,Marguerite Yourcenar,"Yourcenar, Marguerite",Ivanka Pavlović,"=""8619003569""","=""9788619003568""",0,4.22,Nolit,Hardcover,312,1986,1951,,2025/06/18,to-read,to-read (#67),to-read,,,,0,0
63103603,Zaposednutost,Annie Ernaux,"Ernaux, Annie",Bojan Savić Ostojić,"=""8689597662""","=""9788689597660""",3,3.77,Štrik,Paperback,70,2022,2002,2025/06/18,2025/06/18,,,read,"Definitivno mi nije legla kao Jednostavna strast, iako je stil pisanja lep.<br/>Razumem da se radi o opisivanju unitrašnje borbe sa opsesijom i mislima, ali protagonistkinja je stvarno luda. ",,,1,0
23451687,Najnormalniji čovek na svetu,Ivan Tokin,"Tokin, Ivan",,"=""""","=""9788679634016""",5,4.15,Samizdat B92,Paperback,248,2014,2014,2025/06/09,2025/06/06,,,read,"I dalje mi se vrti po glavi - Važno je da roniš i da letiš i da se ne plašiš. ❤️<br/><br/>Nikad ni za jednu knjigu nisam ovoliko promenila mišljenje od početka do kraja. <br/>Početak me nije privukao, želela sam i da odustanem. Ali do kraja… imam utisak da se autor autentično izrazio u drugom delu knjige, dok je prvi deo nastao pod uticajem drugih autora. <br/><br/>4 od 5, zbog prvog dela knjige. Baš me je dotakla knjiga.",,,1,0
31197021,Sitnice koje život znače,Lorenzo Marone,"Marone, Lorenzo",Gordana Subotić,"=""8664570647""","=""9788664570640""",4,4.10,Dereta,Paperback,239,2016,2015,2025/06/17,2025/06/09,,,read,"Priča koja vas neće ostaviti ravnodušnim.<br/>Roman prati sedamdesetsedmogodišnjaka čiji život postepeno otkrivamo kroz roman i saznajemo na koji način mladi i poletni ljudi postaju namrgođeni starci. U knjizi su opisani međuljudski, ljubavni i porodični odnosi iz perspektive starijeg čoveka. <br/><br/>Ima elemenata koji mi se nisu dopali. Kao da je postojao prostor da se sve još malo razradi. <br/><br/>Sve u svemu, savremeni evropski roman. <br/>3.7<br/><br/>- Zveva je previše besna na život da bi umela da uživa u raskošnom spektru njegovih nijansi.",,,1,0
199212862,Kitovi koji imaju drugačije frekvencije,Olivera Mitić,"Mitić, Olivera",,"=""8644707922""","=""9788644707929""",0,3.95,Plato,Paperback,170,2023,,,2025/06/15,to-read,to-read (#66),to-read,,,,0,0
18144647,Noćni voz za Lisabon,Pascal Mercier,"Mercier, Pascal",,"=""""","=""9788683907489""",0,3.74,Aed studio,Paperback,366,2009,2004,,2025/06/15,to-read,to-read (#65),to-read,,,,0,0
28459,Rudin,Ivan Turgenev,"Turgenev, Ivan","Constance Garnett, Isabel Florence Hapgood","=""1426450427""","=""9781426450426""",0,3.78,BiblioBazaar,Paperback,148,2006,1856,,2025/06/15,to-read,to-read (#64),to-read,,,,0,0
59950,The Sound of the Mountain,Yasunari Kawabata,"Kawabata, Yasunari",Edward G. Seidensticker,"=""0679762647""","=""9780679762645""",0,3.84,Vintage,Paperback,276,1996,1954,,2025/06/12,to-read,to-read (#63),to-read,,,,0,0
211179818,Nevidljivi gradovi,Italo Kalvino,"Kalvino, Italo",,"=""""","=""""",4,4.27,,Unknown Binding,,,,2025/06/12,2025/05/13,,,read,"Nevidljivi gradovi su misaoni eseji koje, iako su kratki, ne treba čitati odjednom, već polako ih analizirati i tražiti simbolike u njima. <br/><br/>Gradovi su metafore za ljude, misli, osećanja…<br/><br/>Roman je okvirno ispričan kao dijalog između starog cara Kublaj-kana i njegovog putnika Marka Pola. Kublaj-kan traži da mu Polo prepriča gradove svog carstva – opisujući najraznovrsnije fiktivne gradove, svi često nazvani po ženama – dok car pokušava da shvati njihovo znacenje.",,,1,0
234894361,Mala sreća,Claudia Piñeiro,"Piñeiro, Claudia",Ksenija Bilbija,"=""8660700740""","=""9788660700744""",0,4.28,Blum izdavaštvo,Paperback,223,2024,2015,,2025/06/10,to-read,to-read (#62),to-read,,,,0,0
204249375,Sve te sitnice,Claire Keegan,"Keegan, Claire",Arijana Luburić Cvijanović,"=""8661454247""","=""9788661454240""",4,4.09,Geopoetika,Paperback,96,2023,2021,2025/06/06,2025/01/14,,,read,"Kler Kigan je jedna od najuticajnijih irskih spisateljica. 2023. je proglašena autorom godine. <br/><br/>Roman je vremenski smešten nekoliko nedelja pred Božić 1985. godine u idiličnom irskom gradiću. Protagonista priče, Bil Ferlong, običan čovek sa toplim srcem, tokom jedne dostave uglja otkriva mračnu istinu sakrivenu iza zidova lokalnog samostana. Naizgled jednostavna priča postaje duboka moralna drama o tišini, odgovornosti i ljudskosti.<br/><br/>Priča o nadi, herojstvu i empatiji. Lep poklon za praznike. ",,,1,0
12747,The Book and the Brotherhood,Iris Murdoch,"Murdoch, Iris",,"=""0140104704""","=""9780140104707""",0,3.98,Penguin Publishing Group,Paperback,608,1989,1987,,2025/06/06,to-read,to-read (#61),to-read,,,,0,0
55010100,Jednostavna strast,Annie Ernaux,"Ernaux, Annie","Ani Erno, Nada Bojić","=""8607009044""","=""""",4,3.91,"Prosveta, Beograd",Paperback,60,1995,1991,2025/06/05,2025/06/05,,,read,"‘’Neprijatnosti svakodnevnog života nisu me nervirale. Uopšte se nisam brinula zbog dvomesečnog štrajka poštara jer mi A. nije slao pisma (bez sumnje, iz opreznosti oženjenog čoveka). Čekala sam strpljivo u dugim redovima ispred šaltera u banci i nikad se nisam naljutila zbog neljubaznosti namrgođenog službenika.<br/>Nista nije moglo da utiče na moje strpljenje. Osećala sam u pogledu tih ljudi čak neku vrstu saosećanja, bola, bratstva. Imala sam posebno razumevanje prema klošarima koji su ležali na klupama po parkovima i metrou, za klijente prostitutki, za usamljenu ženu koja čita jeftin ljubavni roman sedeći sama u parku (mada ne bih znala reći kakvu sam sličnost nalazila između sebe i njih).’’<br/><br/>Slučajno sam naletela na jednom štandu sa knjigama na Ani Erno i uzela sam je na preporuku devojke koja je prodavala knjige i vrlo rado diskutovala o njima. Rekoh, hajde da probam. <br/>Nisam znala šta da očekujem, više mi se činilo da mi se neće dopasti, jer kada su knjige o emocijama, često budu patetične. Dohvatila sam se Jednostavnih stvari, manja knjiga, samo da proverim da li je to ono što ja volim i da nastavim sa daljim čitanjem ili da Ani i ja krenemo svaka svojim putem. <br/>I, evo, ostala sam. Kratko, intezivno i iskreno. Bez patetike i bez prenemaganja. Sirove, neobrađene emocije. Kao da sam zavirila u nečiji unutrašnji svet. Ani ne okoliše, ne dramatizuje, ne ulepšava stvari. Stvari su prosto takve kakve jesu. Bilo da su moralne ili ne. <br/><br/>Ani piše iz ličnog iskustva koje fikcionalizuje. U romanu je prikazan unutrašnji svet žene koja se nalazi u strastvenoj i opsesivnoj vezi sa oženjenim muškarcem. Fokus nije na spoljnim događajima, već na njenim emocijama, čežnji, iščekivanju i preokupiranosti njime. Kroz jednostavan, ali precizan stil, autorka osvetljava psihološku dubinu i ranjivost žene koja se u potpunosti predaje toj vezi, uprkos njenoj neizvesnosti i jednostranosti.<br/><br/><br/>Tek ćemo se družiti, Ani i ja. ❤️",,,1,0
238953,Das Kapital,Karl Marx,"Marx, Karl","Friedrich Engels, Serge L. Levitsky","=""089526711X""","=""9780895267115""",0,3.91,Gateway Editions,Paperback,356,1996,1867,,2025/05/30,to-read,to-read (#60),to-read,,,,0,0
123933,No Exit,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""0573613052""","=""9780573613050""",0,4.11,Concord Theatricals,Paperback,60,1958,1944,,2025/05/29,to-read,to-read (#59),to-read,,,,0,0
56913404,Madona u bundi,Sabahattin Ali,"Ali, Sabahattin",Mirjana Teodosijević,"=""""","=""""",0,4.34,Službeni glasnik,Paperback,200,2020,1943,,2025/05/27,to-read,to-read (#58),to-read,,,,0,0
259020,The Golden Bowl,Henry James,"James, Henry","Gore Vidal, Patricia Crick","=""0140432353""","=""9780140432350""",0,3.77,Penguin Books,Paperback,591,1985,1904,,2025/05/18,to-read,to-read (#57),to-read,,,,0,0
38328365,Obris,Rachel Cusk,"Cusk, Rachel",Aleksandar Milajić,"=""8688335966""","=""9788688335966""",4,3.67,Booka,Paperback,175,2018,2014,,2025/04/28,,,read,"Ovo je roman bez klasične radnje, ali s dubokim emocijama predstavljenim poput obrisa. Glavna junakinja Faj dolazi u Atinu da predaje pisanje, ali se iz naracije povlači – postaje tihi svedok, prostor kroz koji prolaze priče drugih. Kroz razgovore koje vodi, likovi otkrivaju čežnju, teskobu, izgubljenost, a Faj ostaje senka – obris.<br/><br/>Nema dramatičnih obrta, nema zapleta u klasičnom smislu – sve se dešava u jeziku, u tonu, u načinu na koji ljudi otkrivaju sebe ne znajući da su viđeni. Faj je tu da sluša, a čitajući, i mi postajemo slušaoci. <br/><br/>Iznenadio me je sam tonalitet romana, iako nisam mnogo znala o njemu, čak ni da je prvi deo trilogije. Druga stvar koju nisam očekivala kada sam uzela knjigu u ruke je da će mi zapravo baš prijati. <br/><br/>Čitala sam komentare da se ljudi na kraju čitanja pitaju šta su zapravo pročitali, razumem, desilo mi se skoro sa knjigom Miss Lonliharts, ali, meni lično, Obris se utisnuo. ✨<br/><br/>3.8/5",,,1,0
214776322,Depadansa,Rachel Cusk,"Cusk, Rachel",,"=""""","=""""",0,3.67,Vuković & Runjić,Paperback,192,2024,2021,,2025/05/14,to-read,to-read (#56),to-read,,,,0,0
60246552,Septology,Jon Fosse,"Fosse, Jon",,"=""1804270067""","=""9781804270066""",0,4.47,Fitzcarraldo Editions,Paperback,825,2022,2022,,2025/05/11,to-read,to-read (#55),to-read,,,,0,0
55823535,"U jesen (Seasons Quartet, #1)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""8680830496""","=""9788680830490""",0,3.72,Booka,Paperback,206,2020,2015,,2025/05/07,to-read,to-read (#54),to-read,,,,0,0
406235,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",3,4.34,Laurel,Paperback,178,1988,1956,2025/04/27,2024/04/10,,,read,"Jedan od najbitnijih romana LGBTQ+ književnosti 20. veka. <br/>Mladi Amerikanac Dejvid je došao u Pariz, dok njegova verenica preispituje njihovu vezu putovanjem po Španiji. Dejvid se zaljubljuje u Đovanija i njihova veza se odvija u Đovanijevoj mračnoj sobi.<br/><br/>Istražuje se tema homofobije, društvene izolacije, muškosti…<br/><br/>Generalni utisak mi je da likovi nisu dovoljno razrađeni i da je roman pružao mnogo više prostora za izgradnju. <br/><br/>2.5 od 5. ",,,1,0
114013840,Slikar prolaznog sveta,Kazuo Isiguro,"Isiguro, Kazuo",,"=""8664572305""","=""9788664572309""",0,3.78,Dereta,Hardcover,0,2019,1986,,2025/04/18,to-read,to-read (#53),to-read,,,,0,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2017/09/18,,,read,"„Recite mi samo jos jedno"", kaza Hari. „Da li je ovo stvarno? Ili se sve ovo događalo samo u mojoj glavi?""<br/>Dambidor se zadovoljno nasmeši, a njegov glas je odzvanjao glasno i prodorno u Harijevim ušima, iako se jarka izmaglica ponovo spuštala, zaklanjajući mu obličje<br/>„Naravno da se zbiva u tvojoj glavi, Hari, ali zašto bi, za ime sveta, to značilo da nije stvarno?"" ",,,2,0
20655851,Pusti pravog da uđe,John Ajvide Lindqvist,"Lindqvist, John Ajvide",,"=""8650516238""","=""9788650516232""",0,4.04,Evro-Giunti,Paperback,448,2010,2004,,2025/03/30,to-read,to-read (#52),to-read,,,,0,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Paperback,652,2006,2005,,2017/09/18,,,read," - When you have seen as much of life as I have, you will not underestimate the power of obsessive love. ✨",,,2,0
45021179,Usta puna zemlje ; Smrt gospodina Goluže,Branimir Šćepanović,"Šćepanović, Branimir",,"=""8664572267""","=""9788664572262""",5,4.31,Dereta,Paperback,213,2019,1974,2025/02/28,2025/02/28,,,read,"Egzistencijalni roman o ljudskoj potrebi za smislom koga možda nema. Jednostavna i simbolički bogata radnja koja nas navodi da se zapitamo da li je čovek ikada slobodan ili je uvek gonjen? Društvom, strahovima, smislom, samim sobom…<br/>Apsurd nas podseca na Kafku, Kamija, malim delom i na Harmsa.<br/>Delo je prevedeno na preko 30 jezika i u antologiju svetske književnosti, koju je objavila Francuska enciklopedija pod naslovnom Idealna biblioteka, svrstano je među 700 knjiga svih vremena.<br/><br/>Druga pripovetka nam govori o društvu koje ne dopušta da se išta dogodi van njegovih pravila. Predstavlja nam nemoć čoveka pred društvenim konvencijama dok se ponovo protežu pitanja o smislu i slobodi. <br/><br/>Velika preporuka. ",,,1,0
199333452,Jutro i veče,Jon Fosse,"Fosse, Jon",Radoš Kosović,"=""8664071365""","=""9788664071369""",0,3.91,Treći trg,,93,2021,2000,,2025/03/25,to-read,to-read (#51),to-read,,,,0,0
49335391,Stopama Hristovim,Isidora Sekulić,"Sekulić, Isidora",,"=""8664310904""","=""9788664310901""",0,4.54,Bernar,Paperback,214,2019,,,2025/03/24,to-read,to-read (#50),to-read,,,,0,0
